title,description,published date,url,publisher,sentiment_score,sentiment_probs
Apple's Market Cap Briefly Tops $3 Trillion After Relentless Rally - Bloomberg,Apple's Market Cap Briefly Tops $3 Trillion After Relentless Rally  Bloomberg,2022-01-03,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTAxLTAzL2FwcGxlLXZhbHVlLWJyaWVmbHktdG9wcy0zLXRyaWxsaW9uLWFmdGVyLXJlbGVudGxlc3MtcmFsbHnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",2.0,"[[0.0003442410961724818, 0.007181200664490461, 0.9924744963645935]]"
Apple becomes first U.S. company to reach $3 trillion market cap - CNBC,Apple becomes first U.S. company to reach $3 trillion market cap  CNBC,2022-01-03,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDEvMDMvYXBwbGUtYmVjb21lcy1maXJzdC11cy1jb21wYW55LXRvLXJlYWNoLTMtdHJpbGxpb24tbWFya2V0LWNhcC5odG1s0gFmaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDEvMDMvYXBwbGUtYmVjb21lcy1maXJzdC11cy1jb21wYW55LXRvLXJlYWNoLTMtdHJpbGxpb24tbWFya2V0LWNhcC5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",1.0,"[[0.00011067139712395146, 0.9978163242340088, 0.00207300903275609]]"
"AAPL hits $3 trillion market cap, Apple now first company to reach milestone valuation - 9to5Mac","AAPL hits $3 trillion market cap, Apple now first company to reach milestone valuation  9to5Mac",2022-01-03,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vOXRvNW1hYy5jb20vMjAyMi8wMS8wMy9hYXBsLTMtdHJpbGxpb24v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}",2.0,"[[0.0002369107969570905, 0.0002931330818682909, 0.999470055103302]]"
Apple Stock: Strongest Competitive Advantage (NASDAQ:AAPL) - Seeking Alpha,Apple Stock: Strongest Competitive Advantage (NASDAQ:AAPL)  Seeking Alpha,2022-01-03,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0Nzc2ODYtYXBwbGUtc3RvY2stc3Ryb25nZXN0LWNvbXBldGl0aXZlLWFkdmFudGFnZdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}",2.0,"[[0.00022370733495336026, 0.00024500981089659035, 0.9995313882827759]]"
Apple Becomes World's First $3 Trillion Company - Investopedia,Apple Becomes World's First $3 Trillion Company  Investopedia,2022-01-03,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYXBwbGUtYmVjb21lcy1maXJzdC0zLXRyaWxsaW9uLWRvbGxhci1jb21wYW55LTUyMTQ2NTDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",2.0,"[[0.00017481774557381868, 0.00014158914564177394, 0.9996836185455322]]"
"Apple becomes first company to hit $3 trillion market value, then slips - Reuters","Apple becomes first company to hit $3 trillion market value, then slips  Reuters",2022-01-03,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZXVyb3BlL2FwcGxlLWdldHMtY2xvc2VyLTMtdHJpbGxpb24tbWFya2V0LXZhbHVlLTIwMjItMDEtMDMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}",0.0,"[[0.9916582703590393, 0.00797216221690178, 0.0003695610794238746]]"
Apple Stock: Can 2022 Be As Good As Last Year? - TheStreet,Apple Stock: Can 2022 Be As Good As Last Year?  TheStreet,2022-01-04,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2stY2FuLTIwMjItYmUtYXMtZ29vZC1hcy1sYXN0LXllYXLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",2.0,"[[0.0004851953126490116, 0.0007762462482787669, 0.9987385869026184]]"
Apple becomes world's first company to hit US$3trn market value - Proactive Investors UK,Apple becomes world's first company to hit US$3trn market value  Proactive Investors UK,2022-01-04,https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm9hY3RpdmVpbnZlc3RvcnMuY28udWsvY29tcGFuaWVzL25ld3MvOTcwMzIzL2FwcGxlLWJlY29tZXMtd29ybGQtcy1maXJzdC1jb21wYW55LXRvLWhpdC11cy0zdHJuLW1hcmtldC12YWx1ZS05NzAzMjMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.proactiveinvestors.co.uk', 'title': 'Proactive Investors UK'}",1.0,"[[0.00011444239498814568, 0.9948373436927795, 0.005048239137977362]]"
Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog - iPhone in Canada,Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog  iPhone in Canada,2022-01-04,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmlwaG9uZWluY2FuYWRhLmNhLzIwMjIvMDEvMDQvYXBwbGUtc3RvY2stdG8tY29udGludWUtZ3Jvd2luZy0yMDIyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.iphoneincanada.ca', 'title': 'iPhone in Canada'}",2.0,"[[0.00018012947111856192, 0.0001821226323954761, 0.9996377229690552]]"
Apple Stock: Can 2022 Be As Good As Last Year? - TheStreet,Apple Stock: Can 2022 Be As Good As Last Year?  TheStreet,2022-01-04,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2stY2FuLTIwMjItYmUtYXMtZ29vZC1hcy1sYXN0LXllYXLSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",2.0,"[[0.0004851953126490116, 0.0007762462482787669, 0.9987385869026184]]"
"Warren Buffett makes over $120 billion on Apple's rise to $3 trillion, among his best bets ever - CNBC","Warren Buffett makes over $120 billion on Apple's rise to $3 trillion, among his best bets ever  CNBC",2022-01-04,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5jbmJjLmNvbS8yMDIyLzAxLzA0L3dhcnJlbi1idWZmZXR0LW1ha2VzLW92ZXItMTIwLWJpbGxpb24tb24tYXBwbGVzLXRyb3QtdG8tMy10cmlsbGlvbi1hbW9uZy1oaXMtYmVzdC1iZXRzLWV2ZXIuaHRtbNIBhAFodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8wMS8wNC93YXJyZW4tYnVmZmV0dC1tYWtlcy1vdmVyLTEyMC1iaWxsaW9uLW9uLWFwcGxlcy10cm90LXRvLTMtdHJpbGxpb24tYW1vbmctaGlzLWJlc3QtYmV0cy1ldmVyLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",2.0,"[[0.0004043167282361537, 0.055125534534454346, 0.9444701075553894]]"
Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL) - Benzinga,Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL)  Benzinga,2022-01-05,https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5iZW56aW5nYS5jb20vbWFya2V0cy9jcnlwdG9jdXJyZW5jeS8yMi8wMS8yNDkxMjgzNy9wb29sc3VpdGUtbmZ0LWlzLXRoaXMtdGhlLWZpcnN0LW5mdC10by1nZXQtYXBwbGUtd2FsbGV0LWludGVncmF0aW9u0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzI0OTEyODM3?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}",1.0,"[[7.403470954159275e-05, 0.9986488223075867, 0.0012771133333444595]]"
Apple becomes world's first company to hit US$3trn market value - Proactive Investors UK,Apple becomes world's first company to hit US$3trn market value  Proactive Investors UK,2022-01-04,https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wcm9hY3RpdmVpbnZlc3RvcnMuY28udWsvY29tcGFuaWVzL25ld3MvOTcwMzIzL2FwcGxlLWJlY29tZXMtd29ybGQtcy1maXJzdC1jb21wYW55LXRvLWhpdC11cy0zdHJuLW1hcmtldC12YWx1ZS05NzAzMjMuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.proactiveinvestors.co.uk', 'title': 'Proactive Investors UK'}",1.0,"[[0.00011444239498814568, 0.9948373436927795, 0.005048239137977362]]"
Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog - iPhone in Canada,Apple Stock is Expected to Continue Growing Faster Than U.S. Economy • iPhone in Canada Blog  iPhone in Canada,2022-01-04,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmlwaG9uZWluY2FuYWRhLmNhLzIwMjIvMDEvMDQvYXBwbGUtc3RvY2stdG8tY29udGludWUtZ3Jvd2luZy0yMDIyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.iphoneincanada.ca', 'title': 'iPhone in Canada'}",2.0,"[[0.00018012947111856192, 0.0001821226323954761, 0.9996377229690552]]"
Tim Cook Net Worth: Did He Get Richer After Apple Becomes $3 Trillion Company? - iTech Post,Tim Cook Net Worth: Did He Get Richer After Apple Becomes $3 Trillion Company?  iTech Post,2022-01-04,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3Lml0ZWNocG9zdC5jb20vYXJ0aWNsZXMvMTA4NTc3LzIwMjIwMTA0L3RpbS1jb29rLW5ldC13b3J0aC1yaWNoZXItYXBwbGUtYmVjb21lcy0zLXRyaWxsaW9uLWNvbXBhbnkuaHRt0gF1aHR0cHM6Ly93d3cuaXRlY2hwb3N0LmNvbS9hbXAvYXJ0aWNsZXMvMTA4NTc3LzIwMjIwMTA0L3RpbS1jb29rLW5ldC13b3J0aC1yaWNoZXItYXBwbGUtYmVjb21lcy0zLXRyaWxsaW9uLWNvbXBhbnkuaHRt?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.itechpost.com', 'title': 'iTech Post'}",2.0,"[[0.0002474721404723823, 0.010289071127772331, 0.9894634485244751]]"
What iPod inventor Tony Fadell says he learned from Steve Jobs - Yahoo Finance,What iPod inventor Tony Fadell says he learned from Steve Jobs  Yahoo Finance,2022-01-06,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aGF0LWktcG9kLWludmVudG9yLXRvbnktZmFkZWxsLXNheXMtaGUtbGVhcm5lZC1mcm9tLXN0ZXZlLWpvYnMtMTQ0NDQ4NzQ1Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",1.0,"[[0.00033091488876380026, 0.9968622922897339, 0.002806862583383918]]"
Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL) - Benzinga,Poolsuite NFT: Is This The First NFT To Get Apple Wallet Integration? - Apple (NASDAQ:AAPL)  Benzinga,2022-01-05,https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5iZW56aW5nYS5jb20vbWFya2V0cy9jcnlwdG9jdXJyZW5jeS8yMi8wMS8yNDkxMjgzNy9wb29sc3VpdGUtbmZ0LWlzLXRoaXMtdGhlLWZpcnN0LW5mdC10by1nZXQtYXBwbGUtd2FsbGV0LWludGVncmF0aW9u0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzI0OTEyODM3?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}",1.0,"[[7.403470954159275e-05, 0.9986488223075867, 0.0012771133333444595]]"
