Date,Adj Close,Open,High,Low,Close,Volume
2022-01-03,179.725,177.83,182.88,177.71,182.01,104487900
2022-01-04,177.444,182.63,182.94,179.12,179.7,99310400
2022-01-05,172.724,179.61,180.17,174.64,174.92,94537600
2022-01-06,169.84,172.7,175.3,171.64,172.0,96904000
2022-01-07,170.008,172.89,174.14,171.03,172.17,86709100
2022-01-10,170.028,169.08,172.5,168.17,172.19,106765600
2022-01-11,172.882,172.32,175.18,170.82,175.08,76138300
2022-01-12,173.326,176.12,177.18,174.82,175.53,74805200
2022-01-13,170.028,175.78,176.62,171.79,172.19,84505800
2022-01-14,170.897,171.34,173.78,171.09,173.07,80440800
2022-01-18,167.668,171.51,172.54,169.41,169.8,90956700
2022-01-19,164.143,170.0,171.08,165.94,166.23,94815000
2022-01-20,162.444,166.98,169.68,164.18,164.51,91420500
2022-01-21,160.371,164.42,166.33,162.3,162.41,122848900
2022-01-24,159.591,160.02,162.3,154.7,161.62,162294600
2022-01-25,157.774,158.98,162.76,157.02,159.78,115798400
2022-01-26,157.685,163.5,164.39,157.82,159.69,108275300
2022-01-27,157.221,162.45,163.84,158.28,159.22,121954600
2022-01-28,168.191,165.71,170.35,162.8,170.33,179935700
2022-01-31,172.585,170.16,175.0,169.51,174.78,115541600
2022-02-01,172.417,174.01,174.84,172.31,174.61,86213900
2022-02-02,173.632,174.75,175.88,173.33,175.84,84914300
2022-02-03,170.729,174.48,176.24,172.12,172.9,89418100
2022-02-04,170.442,171.68,174.1,170.68,172.39,82465400
2022-02-07,169.72,172.86,173.95,170.95,171.66,77251200
2022-02-08,172.855,171.73,175.35,171.43,174.83,74829200
2022-02-09,174.288,176.05,176.65,174.9,176.28,71285000
2022-02-10,170.175,174.14,175.48,171.55,172.12,90865900
2022-02-11,166.735,172.33,173.08,168.04,168.64,98670700
2022-02-14,166.972,167.37,169.58,166.56,168.88,86185500
2022-02-15,170.838,170.97,172.95,170.25,172.79,62527400
2022-02-16,170.6,171.85,173.34,170.05,172.55,61177400
2022-02-17,166.972,171.03,171.91,168.47,168.88,69589300
2022-02-18,165.41,169.82,170.54,166.19,167.3,82772700
2022-02-22,162.463,164.98,166.69,162.15,164.32,91162800
2022-02-23,158.261,165.54,166.15,159.75,160.07,90009200
2022-02-24,160.901,152.58,162.85,152.0,162.74,141147500
2022-02-25,162.987,163.84,165.12,160.87,164.85,91974200
2022-02-28,163.254,163.06,165.42,162.43,165.12,95056600
2022-03-01,161.356,164.7,166.6,161.97,163.2,83474400
2022-03-02,164.678,164.39,167.36,162.95,166.56,79724800
2022-03-03,164.352,168.47,168.91,165.55,166.23,76678400
2022-03-04,161.326,164.49,165.55,162.1,163.17,83737200
2022-03-07,157.5,163.36,165.02,159.04,159.3,96418800
2022-03-08,155.661,158.82,162.88,155.8,157.44,131148300
2022-03-09,161.109,161.48,163.41,159.41,162.95,91454900
2022-03-10,156.729,160.2,160.39,155.98,158.52,105342000
2022-03-11,152.982,158.93,159.28,154.5,154.73,96970100
2022-03-14,148.918,151.45,154.12,150.1,150.62,108732100
2022-03-15,153.338,150.9,155.57,150.38,155.09,92964300
2022-03-16,157.787,157.05,160.0,154.46,159.59,102300200
2022-03-17,158.805,158.61,161.0,157.63,160.62,75615400
2022-03-18,162.127,160.51,164.48,159.76,163.98,123511700
2022-03-21,163.511,163.51,166.35,163.01,165.38,95811400
2022-03-22,166.913,165.51,169.42,164.91,168.82,81532000
2022-03-23,168.287,167.99,172.64,167.65,170.21,98062700
2022-03-24,172.103,171.06,174.14,170.21,174.07,90131400
2022-03-25,172.746,173.88,175.28,172.75,174.72,80546200
2022-03-28,173.616,172.17,175.73,172.0,175.6,90371900
2022-03-29,176.938,176.69,179.01,176.34,178.96,100589400
2022-03-30,175.761,178.55,179.61,176.7,177.77,92633200
2022-03-31,172.637,177.84,178.03,174.4,174.61,103049300
2022-04-01,172.341,174.03,174.88,171.94,174.31,78751300
2022-04-04,176.424,174.57,178.49,174.44,178.44,76468400
2022-04-05,173.082,177.5,178.3,174.42,175.06,73401800
2022-04-06,169.889,172.36,173.63,170.13,171.83,89058800
2022-04-07,170.195,171.16,173.36,169.85,172.14,77594700
2022-04-08,168.168,171.78,171.78,169.2,170.09,76575500
2022-04-11,163.877,168.71,169.03,165.5,165.75,72246700
2022-04-12,165.766,168.02,169.87,166.64,167.66,79265200
2022-04-13,168.475,167.39,171.04,166.77,170.4,70618900
2022-04-14,163.422,170.62,171.27,165.04,165.29,75329400
2022-04-18,163.205,163.92,166.6,163.57,165.07,69023900
2022-04-19,165.509,165.02,167.82,163.91,167.4,67723800
2022-04-20,165.341,168.76,168.88,166.1,167.23,67929800
2022-04-21,164.54,168.91,171.53,165.91,166.42,87227800
2022-04-22,159.962,166.46,167.87,161.5,161.79,84882400
2022-04-25,161.04,161.12,163.17,158.46,162.88,96046400
2022-04-26,155.028,162.25,162.34,156.72,156.8,95623200
2022-04-27,154.801,155.91,159.79,155.38,156.57,88063200
2022-04-28,161.791,159.25,164.52,158.93,163.64,130216800
2022-04-29,155.869,161.84,166.2,157.25,157.65,131747600
2022-05-02,156.175,156.71,158.23,153.27,157.96,123055300
2022-05-03,157.678,158.15,160.71,156.32,159.48,88966500
2022-05-04,164.144,159.67,166.48,159.26,166.02,108256500
2022-05-05,154.999,163.85,164.08,154.95,156.77,130525300
2022-05-06,155.731,156.01,159.44,154.18,157.28,116124600
2022-05-09,150.563,154.93,155.83,151.49,152.06,131577900
2022-05-10,152.989,155.52,156.74,152.93,154.51,115366700
2022-05-11,145.058,153.5,155.45,145.81,146.5,142689800
2022-05-12,141.156,142.77,146.2,138.8,142.56,182602000
2022-05-13,145.662,144.59,148.1,143.11,147.11,113990900
2022-05-16,144.107,145.55,147.52,144.18,145.54,86643800
2022-05-17,147.771,148.86,149.77,146.68,149.24,78336300
2022-05-18,139.434,146.85,147.36,139.9,140.82,109742900
2022-05-19,135.998,139.88,141.66,136.6,137.35,136095600
2022-05-20,136.235,139.09,140.7,132.61,137.59,137426100
2022-05-23,141.701,137.79,143.26,137.65,143.11,117726300
2022-05-24,138.978,140.81,141.97,137.33,140.36,104132700
2022-05-25,139.136,138.43,141.79,138.34,140.52,92482700
2022-05-26,142.364,137.39,144.34,137.14,143.78,90601500
2022-05-27,148.167,145.39,149.68,145.26,149.64,90978500
2022-05-31,147.375,149.07,150.66,146.84,148.84,103718400
2022-06-01,147.246,149.9,151.74,147.68,148.71,74286600
2022-06-02,149.721,147.83,151.27,146.86,151.21,72348100
2022-06-03,143.949,146.9,147.97,144.46,145.38,88570300
2022-06-06,144.701,147.03,148.57,144.9,146.14,71598400
2022-06-07,147.246,144.35,149.0,144.1,148.71,67808200
2022-06-08,146.503,148.58,149.87,147.46,147.96,53950200
2022-06-09,141.236,147.08,147.95,142.53,142.64,69473000
2022-06-10,135.78,140.28,140.76,137.06,137.13,91437900
2022-06-13,130.582,132.87,135.2,131.44,131.88,122207100
2022-06-14,131.453,133.13,133.89,131.48,132.76,84784300
2022-06-15,134.097,134.29,137.34,132.16,135.43,91533000
2022-06-16,128.779,132.08,132.39,129.04,130.06,108123900
2022-06-17,130.265,130.07,133.08,129.81,131.56,134520300
2022-06-21,134.532,133.42,137.06,133.32,135.87,81000500
2022-06-22,134.017,134.79,137.76,133.91,135.35,73409200
2022-06-23,136.909,136.82,138.59,135.63,138.27,72433800
2022-06-24,140.265,139.9,141.91,139.77,141.66,89116800
2022-06-27,140.265,142.7,143.49,140.97,141.66,70207900
2022-06-28,136.087,142.13,143.42,137.32,137.44,67083400
2022-06-29,137.859,137.46,140.67,136.67,139.23,66242400
2022-06-30,135.374,137.25,138.37,133.77,136.72,98964500
2022-07-01,137.562,136.04,139.04,135.66,138.93,71051600
2022-07-05,140.166,137.77,141.61,136.93,141.56,73353800
2022-07-06,141.513,141.35,144.12,141.08,142.92,74064300
2022-07-07,144.909,143.29,146.55,143.28,146.35,66253700
2022-07-08,145.592,145.26,147.55,145.0,147.04,64547800
2022-07-11,143.444,145.67,146.64,143.78,144.87,63141600
2022-07-12,144.424,145.76,148.45,145.05,145.86,77588800
2022-07-13,144.058,142.99,146.45,142.12,145.49,71185600
2022-07-14,147.008,144.08,148.95,143.25,148.47,78140700
2022-07-15,148.691,149.78,150.86,148.2,150.17,76259900
2022-07-18,145.622,150.74,151.57,146.7,147.07,81420900
2022-07-19,149.513,147.92,151.23,146.91,151.0,82982400
2022-07-20,151.533,151.12,153.72,150.37,153.04,64823400
2022-07-21,153.82,154.5,155.57,151.94,155.35,65086600
2022-07-22,152.573,155.39,156.28,153.41,154.09,66675400
2022-07-25,151.444,154.01,155.04,152.28,152.95,53623900
2022-07-26,150.107,152.26,153.09,150.8,151.6,55138700
2022-07-27,155.246,152.58,157.33,152.16,156.79,78620700
2022-07-28,155.801,156.98,157.64,154.41,157.35,81378700
2022-07-29,160.91,161.24,163.63,159.5,162.51,101786900
2022-08-01,159.92,161.01,163.59,160.89,161.51,67829400
2022-08-02,158.435,160.1,162.41,159.63,160.01,59907000
2022-08-03,164.494,160.84,166.59,160.75,166.13,82507500
2022-08-04,164.177,166.01,167.19,164.43,165.81,55474100
2022-08-05,163.949,163.21,165.85,163.0,165.35,56697000
2022-08-08,163.473,166.37,167.81,164.2,164.87,60276900
2022-08-09,163.523,164.02,165.82,163.25,164.92,63135500
2022-08-10,167.806,167.68,169.34,166.9,169.24,70170500
2022-08-11,167.063,170.06,170.99,168.19,168.49,57149200
2022-08-12,170.642,169.82,172.17,169.4,172.1,68039400
2022-08-15,171.723,171.52,173.39,171.35,173.19,54091700
2022-08-16,171.564,172.78,173.71,171.66,173.03,56377100
2022-08-17,173.071,172.77,176.15,172.57,174.55,79542000
2022-08-18,172.675,173.75,174.9,173.12,174.15,62290100
2022-08-19,170.067,173.03,173.74,171.31,171.52,70346300
2022-08-22,166.151,169.69,169.86,167.14,167.57,69026800
2022-08-23,165.813,167.08,168.71,166.65,167.23,54147100
2022-08-24,166.111,167.32,168.11,166.25,167.53,53841500
2022-08-25,168.59,168.78,170.14,168.35,170.03,51218200
2022-08-26,162.234,170.57,171.05,163.56,163.62,78961000
2022-08-29,160.013,161.15,162.9,159.82,161.38,73314000
2022-08-30,157.564,162.13,162.56,157.72,158.91,77906200
2022-08-31,155.888,160.31,160.58,157.14,157.22,87991100
2022-09-01,156.622,156.64,158.42,154.67,157.96,74229900
2022-09-02,154.49,159.75,160.36,154.97,155.81,76957800
2022-09-06,153.221,156.47,157.09,153.69,154.53,73714800
2022-09-07,154.639,154.82,156.67,153.61,155.96,87449600
2022-09-08,153.152,154.64,156.36,152.68,154.46,84923800
2022-09-09,156.037,155.47,157.82,154.75,157.37,68028800
2022-09-12,162.046,159.59,164.26,159.3,163.43,104956000
2022-09-13,152.537,159.9,160.54,153.37,153.84,122656600
2022-09-14,153.994,154.79,157.1,153.61,155.31,87965400
2022-09-15,151.079,154.65,155.24,151.38,152.37,90481100
2022-09-16,149.423,151.21,151.35,148.37,150.7,162278800
2022-09-19,153.171,149.31,154.56,149.1,154.48,81474200
2022-09-20,155.571,153.4,158.08,153.08,156.9,107689800
2022-09-21,152.418,157.34,158.74,153.6,153.72,101696800
2022-09-22,151.446,152.38,154.47,150.91,152.74,86652500
2022-09-23,149.156,151.19,151.47,148.56,150.43,96029900
