Date,Adj Close,Open,High,Low,Close,Volume,neg_sentiment_cnt,neu_sentiment_cnt,pos_sentiment_cnt,mean_neg_sentiment_prob,mean_neu_sentiment_prob,mean_pos_sentiment_prob
2022-01-03,179.725,177.83,182.88,177.71,182.01,104487900,1.0,1.0,4.0,0.16545810312163667,0.16894156985896794,0.6656003547347306
2022-01-04,177.444,182.63,182.94,179.12,179.7,99310400,0.0,1.0,4.0,0.00028631120949285105,0.2122420636471361,0.7874716210179031
2022-01-05,172.724,179.61,180.17,174.64,174.92,94537600,0.0,1.0,0.0,7.403470954159275e-05,0.9986488223075867,0.0012771133333444595
2022-01-06,169.84,172.7,175.3,171.64,172.0,96904000,0.0,1.0,0.0,0.00033091488876380026,0.9968622922897339,0.002806862583383918
2022-01-07,170.008,172.89,174.14,171.03,172.17,86709100,1.0,3.0,2.0,0.15360500692380205,0.5084187875254429,0.3379761938061468
2022-01-10,170.028,169.08,172.5,168.17,172.19,106765600,0.0,4.0,0.0,0.00022675606487609912,0.9957035481929779,0.0040697388649277855
2022-01-11,172.882,172.32,175.18,170.82,175.08,76138300,0.0,3.0,0.0,0.00028691597253782675,0.9780871868133545,0.021625908477290068
2022-01-12,173.326,176.12,177.18,174.82,175.53,74805200,0.0,5.0,3.0,0.0001893541484605521,0.6256152587302495,0.3741954067891129
2022-01-13,170.028,175.78,176.62,171.79,172.19,84505800,3.0,1.0,0.0,0.7679799720644951,0.23107678181258962,0.0009432463120901957
2022-01-14,170.897,171.34,173.78,171.09,173.07,80440800,0.0,1.0,1.0,0.0001795144416973926,0.5006893951212987,0.49913109181397886
2022-01-18,167.668,171.51,172.54,169.41,169.8,90956700,0.0,2.0,0.0,0.0002808869394357316,0.9962675273418427,0.0034516288433223963
2022-01-19,164.143,170.0,171.08,165.94,166.23,94815000,1.0,0.0,1.0,0.4989392256975407,0.001261240104213357,0.4997995483572595
2022-01-20,162.444,166.98,169.68,164.18,164.51,91420500,0.0,2.0,0.0,0.00012032588347210549,0.9997120201587677,0.00016763308667577803
2022-01-21,160.371,164.42,166.33,162.3,162.41,122848900,0.0,2.0,2.0,0.0035029911377932876,0.43911705995560624,0.5573799117701128
2022-01-24,159.591,160.02,162.3,154.7,161.62,162294600,1.0,2.0,1.0,0.25058058103968506,0.5000945165338635,0.24932489008460834
2022-01-25,157.774,158.98,162.76,157.02,159.78,115798400,1.0,4.0,0.0,0.22688744342303835,0.7712271570111625,0.0018853935202059803
2022-01-26,157.685,163.5,164.39,157.82,159.69,108275300,1.0,1.0,0.0,0.4804878516388271,0.5000837828119984,0.019428412604611367
2022-01-27,157.221,162.45,163.84,158.28,159.22,121954600,0.0,4.0,4.0,0.005985834637613152,0.49411948847500753,0.4998946885566511
2022-01-28,168.191,165.71,170.35,162.8,170.33,179935700,0.0,0.0,3.0,0.00031085676164366305,0.000129033137151661,0.9995601177215576
2022-01-31,172.585,170.16,175.0,169.51,174.78,115541600,0.0,2.0,5.0,0.0005409454128571919,0.22399818311013014,0.7754608416331134
2022-02-01,172.417,174.01,174.84,172.31,174.61,86213900,0.0,1.0,1.0,0.0002025818612310104,0.500304747838527,0.49949266997282393
2022-02-02,173.632,174.75,175.88,173.33,175.84,84914300,0.0,1.0,4.0,0.0005408682307461276,0.2255645634199027,0.7738945540389978
2022-02-03,170.729,174.48,176.24,172.12,172.9,89418100,2.0,1.0,2.0,0.4086345404677559,0.19919057696824893,0.39217486668203494
2022-02-04,170.442,171.68,174.1,170.68,172.39,82465400,0.0,3.0,1.0,0.004012700607745501,0.7460125160505413,0.24997476161206578
2022-02-07,169.72,172.86,173.95,170.95,171.66,77251200,0.0,5.0,0.0,0.000180023537541274,0.9947969794273377,0.005023025350237731
2022-02-08,172.855,171.73,175.35,171.43,174.83,74829200,0.0,1.0,3.0,0.0004680734782596119,0.38743031160265673,0.6121016305487501
2022-02-09,174.288,176.05,176.65,174.9,176.28,71285000,2.0,2.0,1.0,0.3996104283767636,0.39998505568364634,0.20040449337102473
2022-02-10,170.175,174.14,175.48,171.55,172.12,90865900,0.0,5.0,0.0,0.0013060093726380729,0.998574149608612,0.00011984036173089408
2022-02-11,166.735,172.33,173.08,168.04,168.64,98670700,1.0,0.0,1.0,0.45532712480053306,0.26176971197128296,0.2829031841829419
2022-02-15,170.838,170.97,172.95,170.25,172.79,62527400,0.0,5.0,3.0,0.027376425577585906,0.6252237081971543,0.34739984403950075
2022-02-17,166.972,171.03,171.91,168.47,168.88,69589300,0.0,0.0,2.0,0.0005410369049059227,0.0025826459750533104,0.9968762695789337
2022-02-18,165.41,169.82,170.54,166.19,167.3,82772700,0.0,3.0,1.0,0.003499251939501846,0.7479407594364602,0.24855996932910784
2022-02-22,162.463,164.98,166.69,162.15,164.32,91162800,0.0,1.0,0.0,7.607645966345444e-05,0.9998729228973389,5.095082815387286e-05
2022-02-23,158.261,165.54,166.15,159.75,160.07,90009200,0.0,2.0,1.0,0.0003751192780327983,0.5960657277610153,0.40355918186590617
2022-02-24,160.901,152.58,162.85,152.0,162.74,141147500,0.0,1.0,0.0,6.403015868272632e-05,0.99965500831604,0.00028090880368836224
2022-02-25,162.987,163.84,165.12,160.87,164.85,91974200,0.0,1.0,0.0,0.00544005585834384,0.9944327473640442,0.00012724008411169052
2022-02-28,163.254,163.06,165.42,162.43,165.12,95056600,0.0,2.0,1.0,0.001852412402513437,0.6694520364205042,0.32869554729404626
2022-03-01,161.356,164.7,166.6,161.97,163.2,83474400,0.0,3.0,1.0,0.00015544190318905748,0.7472605114508042,0.25258404892883846
2022-03-02,164.678,164.39,167.36,162.95,166.56,79724800,0.0,1.0,1.0,0.0001486539222241845,0.5002374274772592,0.4996138949027227
2022-03-03,164.352,168.47,168.91,165.55,166.23,76678400,0.0,3.0,1.0,0.00015242586778185796,0.7497969163159723,0.25005067231541034
2022-03-04,161.326,164.49,165.55,162.1,163.17,83737200,0.0,3.0,0.0,8.375509059987962e-05,0.9998132785161337,0.00010295171159668826
2022-03-07,157.5,163.36,165.02,159.04,159.3,96418800,0.0,1.0,0.0,0.14176639914512634,0.8575531244277954,0.0006804618169553578
2022-03-08,155.661,158.82,162.88,155.8,157.44,131148300,0.0,3.0,1.0,0.00020035718080180231,0.7255304152640747,0.274269245749565
2022-03-10,156.729,160.2,160.39,155.98,158.52,105342000,1.0,3.0,1.0,0.19929492080846103,0.5996693589986535,0.20103571678337176
2022-03-11,152.982,158.93,159.28,154.5,154.73,96970100,0.0,4.0,0.0,0.10042025774419017,0.8890255838632584,0.010554143738772837
2022-03-14,148.918,151.45,154.12,150.1,150.62,108732100,2.0,2.0,0.0,0.49931814270166797,0.4836606556928018,0.017021175928675802
2022-03-15,153.338,150.9,155.57,150.38,155.09,92964300,0.0,1.0,0.0,0.0005774240707978606,0.9992924928665161,0.0001301040465477854
2022-03-16,157.787,157.05,160.0,154.46,159.59,102300200,0.0,1.0,0.0,0.00010537801426835358,0.9997935891151428,0.00010102367377839983
2022-03-17,158.805,158.61,161.0,157.63,160.62,75615400,1.0,2.0,1.0,0.2502397300359007,0.49994850090297405,0.24981174167442077
2022-03-18,162.127,160.51,164.48,159.76,163.98,123511700,0.0,2.0,2.0,0.0003307218084955821,0.5180831965990365,0.48158608789344726
2022-03-21,163.511,163.51,166.35,163.01,165.38,95811400,0.0,3.0,0.0,0.10281853317671145,0.8923999269803365,0.0047815337020438164
2022-03-22,166.913,165.51,169.42,164.91,168.82,81532000,2.0,0.0,0.0,0.8745768070220947,0.11923134326934814,0.006191793829202652
2022-03-23,168.287,167.99,172.64,167.65,170.21,98062700,0.0,2.0,2.0,0.00016126463742693886,0.5015163576827035,0.49832236398106033
2022-03-24,172.103,171.06,174.14,170.21,174.07,90131400,0.0,4.0,1.0,0.0002095739109790884,0.7989259137160843,0.20086448677975569
2022-03-25,172.746,173.88,175.28,172.75,174.72,80546200,0.0,3.0,0.0,0.03135355567549899,0.8209958473841349,0.1476505933011746
2022-03-28,173.616,172.17,175.73,172.0,175.6,90371900,0.0,1.0,1.0,0.0019351999944774434,0.49945281115651596,0.49861195823177695
2022-03-29,176.938,176.69,179.01,176.34,178.96,100589400,1.0,2.0,3.0,0.15314698902269205,0.3924353729901971,0.4544176217884039
2022-03-30,175.761,178.55,179.61,176.7,177.77,92633200,0.0,3.0,3.0,0.0033255804495032257,0.5003535794336736,0.49632079475668434
2022-03-31,172.637,177.84,178.03,174.4,174.61,103049300,0.0,2.0,1.0,0.0002514939260436222,0.662270170088353,0.3374782854419512
2022-04-01,172.341,174.03,174.88,171.94,174.31,78751300,0.0,2.0,1.0,0.00038702600431861356,0.6011283040667573,0.3984846814843574
2022-04-04,176.424,174.57,178.49,174.44,178.44,76468400,0.0,2.0,2.0,0.0003272844714956591,0.4995764186460292,0.5000962948661254
2022-04-05,173.082,177.5,178.3,174.42,175.06,73401800,0.0,3.0,1.0,0.00025162229940178804,0.7494900913152378,0.2502582945762697
2022-04-06,169.889,172.36,173.63,170.13,171.83,89058800,1.0,1.0,0.0,0.7229071855545044,0.2757213565055281,0.0013714334927499294
2022-04-07,170.195,171.16,173.36,169.85,172.14,77594700,0.0,2.0,0.0,0.00014909569472365547,0.997130960226059,0.0027199286414543167
2022-04-08,168.168,171.78,171.78,169.2,170.09,76575500,1.0,0.0,1.0,0.4803964658276527,0.006537238921737298,0.5130662862211466
2022-04-11,163.877,168.71,169.03,165.5,165.75,72246700,0.0,2.0,1.0,0.1292312455625506,0.6659922424005345,0.20477647315541012
2022-04-12,165.766,168.02,169.87,166.64,167.66,79265200,1.0,2.0,3.0,0.12467264741038282,0.32642310989225126,0.5489042440094636
2022-04-13,168.475,167.39,171.04,166.77,170.4,70618900,1.0,1.0,2.0,0.19986736358259805,0.3066249856783543,0.4935076499095885
2022-04-14,163.422,170.62,171.27,165.04,165.29,75329400,0.0,1.0,1.0,0.0008456722644041292,0.5016238267999142,0.49753051803236303
2022-04-18,163.205,163.92,166.6,163.57,165.07,69023900,0.0,1.0,0.0,0.042927831411361694,0.9567301273345947,0.0003420385473873466
2022-04-19,165.509,165.02,167.82,163.91,167.4,67723800,0.0,2.0,0.0,9.259511716663837e-05,0.9997377097606659,0.00016972558296401985
2022-04-20,165.341,168.76,168.88,166.1,167.23,67929800,1.0,4.0,1.0,0.17647750957500344,0.6565876607055543,0.16693480745501196
2022-04-21,164.54,168.91,171.53,165.91,166.42,87227800,1.0,2.0,2.0,0.19974407742993208,0.4002717873023357,0.3999841356635443
2022-04-22,159.962,166.46,167.87,161.5,161.79,84882400,1.0,3.0,0.0,0.24954118170353468,0.7498722330492456,0.0005865490729775047
2022-04-25,161.04,161.12,163.17,158.46,162.88,96046400,0.0,4.0,1.0,0.00632174777565524,0.7660691766475793,0.2276090926519828
2022-04-26,155.028,162.25,162.34,156.72,156.8,95623200,1.0,1.0,0.0,0.49345952019211836,0.43855192988121416,0.06798852188512683
