title,description,published date,url,publisher,sentiment_score,sentiment_probs
Meta's Sharma plans to transform Horizon into a cohesive metaverse - Digiday,Meta's Sharma plans to transform Horizon into a cohesive metaverse  Digiday,2022-01-03,https://news.google.com/rss/articles/CBMilwFodHRwczovL2RpZ2lkYXkuY29tL21hcmtldGluZy93ZS1zdGFuZC1vbi10aGUtc2hvdWxkZXJzLW9mLWdpYW50cy1ob3ctbWV0YXMtdml2ZWstc2hhcm1hLXBsYW5zLXRvLXRyYW5zZm9ybS1ob3Jpem9uLWludG8tYS1jb2hlc2l2ZS1tZXRhdmVyc2UtcGxhdGZvcm0v0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://digiday.com', 'title': 'Digiday'}",1.0,"[[5.926041922066361e-05, 0.999640703201294, 0.00030003796564415097]]"
What Makes Meta Platforms Stock A Better Bet? - Forbes,What Makes Meta Platforms Stock A Better Bet?  Forbes,2022-01-04,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ3JlYXRzcGVjdWxhdGlvbnMvMjAyMi8wMS8wNC93aGF0LW1ha2VzLW1ldGEtcGxhdGZvcm1zLXN0b2NrLWEtYmV0dGVyLWJldC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",2.0,"[[0.0003025463374797255, 8.166558109223843e-05, 0.9996157884597778]]"
"Goertek to Produce PSVR 2, Meta Cambria Headsets - XR Today","Goertek to Produce PSVR 2, Meta Cambria Headsets  XR Today",2022-01-04,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LnhydG9kYXkuY29tL21peGVkLXJlYWxpdHkvZ29lcnRlay10by1wcm9kdWNlLXBzdnItMi1tZXRhLWNhbWJyaWEtaGVhZHNldHMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.xrtoday.com', 'title': 'XR Today'}",1.0,"[[0.00018701297813095152, 0.9760118126869202, 0.023801196366548538]]"
Decentraland Holds First-Mover Advantage in Battle Against Meta - Yahoo Finance,Decentraland Holds First-Mover Advantage in Battle Against Meta  Yahoo Finance,2022-01-03,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kZWNlbnRyYWxhbmQtaG9sZHMtZmlyc3QtbW92ZXItYWR2YW50YWdlLTE5MDM0OTExMi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",2.0,"[[0.00026963153504766524, 0.0019392791436985135, 0.997791051864624]]"
Google Coverage Report Won't Get unavailable_after Meta Tag - Search Engine Roundtable,Google Coverage Report Won't Get unavailable_after Meta Tag  Search Engine Roundtable,2022-01-03,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnNlcm91bmR0YWJsZS5jb20vZ29vZ2xlLWNvdmVyYWdlLXJlcG9ydC13b250LWdldC11bmF2YWlsYWJsZV9hZnRlci1tZXRhLXRhZy0zMjY3Ny5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.seroundtable.com', 'title': 'Search Engine Roundtable'}",1.0,"[[0.0024343966506421566, 0.9973918199539185, 0.00017375967581756413]]"
Quest 2: Meta's VR ecosystem may have reached major milestone - MIXED Reality News,Quest 2: Meta's VR ecosystem may have reached major milestone  MIXED Reality News,2022-01-04,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vbWl4ZWQtbmV3cy5jb20vZW4vcXVlc3QtMi1tZXRhcy12ci1lY29zeXN0ZW0tbWF5LWhhdmUtcmVhY2hlZC1tYWpvci1taWxlc3RvbmUv0gFcaHR0cHM6Ly9taXhlZC1uZXdzLmNvbS9lbi9xdWVzdC0yLW1ldGFzLXZyLWVjb3N5c3RlbS1tYXktaGF2ZS1yZWFjaGVkLW1ham9yLW1pbGVzdG9uZS8_YW1wPTE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://mixed-news.com', 'title': 'MIXED Reality News'}",2.0,"[[0.00029025081312283874, 0.0001828488166211173, 0.999526858329773]]"
"TCL joins the race to create AR smart glasses, challenging Meta and possibly Apple - CNET","TCL joins the race to create AR smart glasses, challenging Meta and possibly Apple  CNET",2022-01-04,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvbW9iaWxlL3RjbC1qb2lucy10aGUtcmFjZS10by1jcmVhdGUtYXItc21hcnQtZ2xhc3Nlcy1jaGFsbGVuZ2luZy1tZXRhLWFuZC1wb3NzaWJseS1hcHBsZS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnet.com', 'title': 'CNET'}",1.0,"[[7.993476174306124e-05, 0.9997689127922058, 0.0001511012960691005]]"
SM Entertainment launches new 'Meta-Passport' membership service - The Korea JoongAng Daily,SM Entertainment launches new 'Meta-Passport' membership service  The Korea JoongAng Daily,2022-01-03,https://news.google.com/rss/articles/CBMia2h0dHBzOi8va29yZWFqb29uZ2FuZ2RhaWx5LmpvaW5zLmNvbS8yMDIyLzAxLzAzL2VudGVydGFpbm1lbnQva3BvcC9rb3JlYS1rcG9wLXNtdG93bi8yMDIyMDEwMzE3MDUxODIyMy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://koreajoongangdaily.joins.com', 'title': 'The Korea JoongAng Daily'}",1.0,"[[5.1985869504278526e-05, 0.9996887445449829, 0.0002592972887214273]]"
Facebook Wants To Double Its VR Headset Sales - Screen Rant,Facebook Wants To Double Its VR Headset Sales  Screen Rant,2022-01-03,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vc2NyZWVucmFudC5jb20vbWV0YS1kb3VibGUtcXVlc3Qtc2FsZXMtMjAyMi1mYWNlYm9vay1tZXRhdmVyc2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://screenrant.com', 'title': 'Screen Rant'}",2.0,"[[0.0001877120230346918, 0.0003070790262427181, 0.9995052814483643]]"
"xQc on Ludwig's MasterChef meta criticism: ""That's a rookie take from a rookie"" - InvenGlobal","xQc on Ludwig's MasterChef meta criticism: ""That's a rookie take from a rookie""  InvenGlobal",2022-01-03,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmludmVuZ2xvYmFsLmNvbS9hcnRpY2xlcy8xNjA3MC94cWMtcm9va2llLWx1ZHdpZy1kcmFtYS1tYXN0ZXJjaGVmLW1ldGHSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.invenglobal.com', 'title': 'InvenGlobal'}",0.0,"[[0.9360958933830261, 0.0471535362303257, 0.016750518232584]]"
Meta Platforms Halts VR and AR Operating System Project - The Information,Meta Platforms Halts VR and AR Operating System Project  The Information,2022-01-05,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnRoZWluZm9ybWF0aW9uLmNvbS9hcnRpY2xlcy9tZXRhLXBsYXRmb3Jtcy1oYWx0cy12ci1hbmQtYXItb3BlcmF0aW5nLXN5c3RlbS1wcm9qZWN00gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.theinformation.com', 'title': 'The Information'}",1.0,"[[9.174803562927991e-05, 0.9998611211776733, 4.715087925433181e-05]]"
Meta reportedly canceled a 300-person VR / AR operating system project - The Verge,Meta reportedly canceled a 300-person VR / AR operating system project  The Verge,2022-01-05,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzEvNS8yMjg2ODM4OC9tZXRhLXhyb3MtdnItYXItb3MtZGV2ZWxvcG1lbnQtY2FuY2VsZWTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}",0.0,"[[0.9177870154380798, 0.08076655864715576, 0.001446444308385253]]"
Meta Platforms Stock Is Set To Break Out (NASDAQ:FB) - Seeking Alpha,Meta Platforms Stock Is Set To Break Out (NASDAQ:FB)  Seeking Alpha,2022-01-05,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0NzgwMzEtbWV0YS1wbGF0Zm9ybXMtaXMtc2V0LXRvLWJyZWFrLW91dNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}",1.0,"[[7.414792344206944e-05, 0.9998650550842285, 6.074965131119825e-05]]"
Facebook-owner Meta sets out grounds for UK appeal on Giphy - Reuters,Facebook-owner Meta sets out grounds for UK appeal on Giphy  Reuters,2022-01-05,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvZmFjZWJvb2stb3duZXItbWV0YS1zZWVrcy1hcHBlYWwtdWstcnVsaW5nLWdpcGh5LTIwMjItMDEtMDUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}",1.0,"[[0.0001348426885670051, 0.9998113512992859, 5.37809100933373e-05]]"
The 5 min meta-analysis: understanding how to read and interpret a forest plot | Eye - Nature.com,The 5 min meta-analysis: understanding how to read and interpret a forest plot | Eye  Nature.com,2022-01-05,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNDMzLTAyMS0wMTg2Ny020gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}",1.0,"[[4.973447721567936e-05, 0.9997572302818298, 0.00019308940682094544]]"
META Demonstrates Award-Winning Transparent 5G Reflector Technology at CES 2022 - META - Metamaterials,META Demonstrates Award-Winning Transparent 5G Reflector Technology at CES 2022 - META  Metamaterials,2022-01-05,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vbWV0YW1hdGVyaWFsLmNvbS9tZXRhLWRlbW9uc3RyYXRlcy1hd2FyZC13aW5uaW5nLXRyYW5zcGFyZW50LTVnLXJlZmxlY3Rvci10ZWNobm9sb2d5LWF0LWNlcy0yMDIyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://metamaterial.com', 'title': 'Metamaterials'}",2.0,"[[0.0008738481556065381, 0.33692827820777893, 0.6621978282928467]]"
ONE Sotheby's Is Selling The First Real-World Home Through The Metaverse Using NFT Technology - Forbes,ONE Sotheby's Is Selling The First Real-World Home Through The Metaverse Using NFT Technology  Forbes,2022-01-05,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2VtbWFyZXlub2xkcy8yMDIyLzAxLzA1L29uZS1zb3RoZWJ5cy1pcy1zZWxsaW5nLXRoZS1maXJzdC1yZWFsLXdvcmxkLWhvbWUtdGhyb3VnaC10aGUtbWV0YXZlcnNlLXVzaW5nLW5mdC10ZWNobm9sb2d5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",1.0,"[[5.558404518524185e-05, 0.9998557567596436, 8.864061237545684e-05]]"
