title,description,published date,url,publisher
NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies - StockNews.com,NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies  StockNews.com,2022-01-04,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL252ZGEtaGlteC1iZXR0ZXItYnV5LWZvci0yMDIyLW52aWRpYS12cy1oaW1heC10ZWNobm9sb2dpZXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}"
Nvidia Omniverse: 14 Things for NVDA Stock Investors to Know About the Metaverse Project - InvestorPlace,Nvidia Omniverse: 14 Things for NVDA Stock Investors to Know About the Metaverse Project  InvestorPlace,2022-01-04,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMi8wMS9udmlkaWEtb21uaXZlcnNlLTE0LXRoaW5ncy1mb3ItbnZkYS1zdG9jay1pbnZlc3RvcnMtdG8ta25vdy1hYm91dC10aGUtbWV0YXZlcnNlLXByb2plY3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}"
NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022? - Yahoo Sports,NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022?  Yahoo Sports,2022-01-04,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9udmlkaWEtbnZkYS0xMjUtbGFzdC1yYWxseS0xNDUwMDI2MzQuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sports.yahoo.com', 'title': 'Yahoo Sports'}"
Could Marvell Technology Become the Next Nvidia? - The Motley Fool,Could Marvell Technology Become the Next Nvidia?  The Motley Fool,2022-01-04,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzAxLzA0L2NvdWxkLW1hcnZlbGwtdGVjaG5vbG9neS1iZWNvbWUtdGhlLW5leHQtbnZpZGlhL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
"Nvidia's Bull Run May Continue, But Micron Is A Better Pick - Seeking Alpha","Nvidia's Bull Run May Continue, But Micron Is A Better Pick  Seeking Alpha",2022-01-04,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0Nzc5NDAtbnZpZGlhLW52ZGEtbXUtYnVsbC1ydW4tbWF5LWNvbnRpbnVlLW1pY3Jvbi1iZXR0ZXItcGlja9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}"
Self-driving truck company TuSimple to use Nvidia chips for autonomous computing - Reuters,Self-driving truck company TuSimple to use Nvidia chips for autonomous computing  Reuters,2022-01-04,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvc2VsZi1kcml2aW5nLXRydWNrLWNvbXBhbnktdHVzaW1wbGUtdXNlLW52aWRpYS1jaGlwcy1hdXRvbm9tb3VzLWNvbXB1dGluZy0yMDIyLTAxLTA0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
Is NVIDIA Still a Buy After Jumping 125% in 2021? - The Motley Fool,Is NVIDIA Still a Buy After Jumping 125% in 2021?  The Motley Fool,2022-01-04,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzAxLzA0L2lzLW52aWRpYS1zdGlsbC1hLWJ1eS1hZnRlci1qdW1waW5nLTEyNS1pbi0yMDIxL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
"Nvidia's Gonna Give It To Ya, Ford's Lightning Bolts & Topps Of The Class - Banyan Hill Publishing","Nvidia's Gonna Give It To Ya, Ford's Lightning Bolts & Topps Of The Class  Banyan Hill Publishing",2022-01-04,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vYmFueWFuaGlsbC5jb20vbnZpZGlhLWZvcmQtbGlnaHRuaW5nLWJvbHRzLXRvcHBzLWNsYXNzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://banyanhill.com', 'title': 'Banyan Hill Publishing'}"
Nvidia Extends TuSimple Partnership For Autonomous Trucking; Showcases Omniverse Plans - Yahoo News Canada,Nvidia Extends TuSimple Partnership For Autonomous Trucking; Showcases Omniverse Plans  Yahoo News Canada,2022-01-04,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vY2EubmV3cy55YWhvby5jb20vZmluYW5jZS9uZXdzL252aWRpYS1leHRlbmRzLXR1c2ltcGxlLXBhcnRuZXJzaGlwLWF1dG9ub21vdXMtMTk0MDUyMzcwLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://ca.news.yahoo.com', 'title': 'Yahoo News Canada'}"
NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies - StockNews.com,NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies  StockNews.com,2022-01-04,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL252ZGEtaGlteC1iZXR0ZXItYnV5LWZvci0yMDIyLW52aWRpYS12cy1oaW1heC10ZWNobm9sb2dpZXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}"
NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022? - Yahoo Sports,NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022?  Yahoo Sports,2022-01-04,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9udmlkaWEtbnZkYS0xMjUtbGFzdC1yYWxseS0xNDUwMDI2MzQuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sports.yahoo.com', 'title': 'Yahoo Sports'}"
