title,description,published date,url,publisher,sentiment_score,sentiment_probs
NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies - StockNews.com,NVDA: Better Buy for 2022: NVIDIA vs. Himax Technologies  StockNews.com,2022-01-04,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL252ZGEtaGlteC1iZXR0ZXItYnV5LWZvci0yMDIyLW52aWRpYS12cy1oaW1heC10ZWNobm9sb2dpZXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",2.0,"[[0.00021415100491140038, 9.430461068404838e-05, 0.9996916055679321]]"
Nvidia Omniverse: 14 Things for NVDA Stock Investors to Know About the Metaverse Project - InvestorPlace,Nvidia Omniverse: 14 Things for NVDA Stock Investors to Know About the Metaverse Project  InvestorPlace,2022-01-04,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMi8wMS9udmlkaWEtb21uaXZlcnNlLTE0LXRoaW5ncy1mb3ItbnZkYS1zdG9jay1pbnZlc3RvcnMtdG8ta25vdy1hYm91dC10aGUtbWV0YXZlcnNlLXByb2plY3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",1.0,"[[0.056726448237895966, 0.9423902630805969, 0.0008833097526803613]]"
NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022? - Yahoo Sports,NVIDIA (NVDA) Up 125% Last Year: Will Rally Continue in 2022?  Yahoo Sports,2022-01-04,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9udmlkaWEtbnZkYS0xMjUtbGFzdC1yYWxseS0xNDUwMDI2MzQuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sports.yahoo.com', 'title': 'Yahoo Sports'}",2.0,"[[0.0002123589947586879, 8.605531184002757e-05, 0.9997015595436096]]"
Could Marvell Technology Become the Next Nvidia? - The Motley Fool,Could Marvell Technology Become the Next Nvidia?  The Motley Fool,2022-01-04,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzAxLzA0L2NvdWxkLW1hcnZlbGwtdGVjaG5vbG9neS1iZWNvbWUtdGhlLW5leHQtbnZpZGlhL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",2.0,"[[0.0002417877985863015, 0.0008546654717065394, 0.9989036321640015]]"
"Nvidia's Bull Run May Continue, But Micron Is A Better Pick - Seeking Alpha","Nvidia's Bull Run May Continue, But Micron Is A Better Pick  Seeking Alpha",2022-01-04,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0Nzc5NDAtbnZpZGlhLW52ZGEtbXUtYnVsbC1ydW4tbWF5LWNvbnRpbnVlLW1pY3Jvbi1iZXR0ZXItcGlja9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}",2.0,"[[0.0005001453682780266, 0.0011159954592585564, 0.9983838796615601]]"
Self-driving truck company TuSimple to use Nvidia chips for autonomous computing - Reuters,Self-driving truck company TuSimple to use Nvidia chips for autonomous computing  Reuters,2022-01-04,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvc2VsZi1kcml2aW5nLXRydWNrLWNvbXBhbnktdHVzaW1wbGUtdXNlLW52aWRpYS1jaGlwcy1hdXRvbm9tb3VzLWNvbXB1dGluZy0yMDIyLTAxLTA0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}",1.0,"[[0.0001110252269427292, 0.9998414516448975, 4.746432023239322e-05]]"
Is NVIDIA Still a Buy After Jumping 125% in 2021? - The Motley Fool,Is NVIDIA Still a Buy After Jumping 125% in 2021?  The Motley Fool,2022-01-04,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzAxLzA0L2lzLW52aWRpYS1zdGlsbC1hLWJ1eS1hZnRlci1qdW1waW5nLTEyNS1pbi0yMDIxL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",2.0,"[[0.00021243079390842468, 0.0001759776787366718, 0.9996115565299988]]"
"Nvidia's Gonna Give It To Ya, Ford's Lightning Bolts & Topps Of The Class - Banyan Hill Publishing","Nvidia's Gonna Give It To Ya, Ford's Lightning Bolts & Topps Of The Class  Banyan Hill Publishing",2022-01-04,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vYmFueWFuaGlsbC5jb20vbnZpZGlhLWZvcmQtbGlnaHRuaW5nLWJvbHRzLXRvcHBzLWNsYXNzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://banyanhill.com', 'title': 'Banyan Hill Publishing'}",1.0,"[[0.00016398837033193558, 0.9955679774284363, 0.004268014803528786]]"
Nvidia Extends TuSimple Partnership For Autonomous Trucking; Showcases Omniverse Plans - Yahoo News Canada,Nvidia Extends TuSimple Partnership For Autonomous Trucking; Showcases Omniverse Plans  Yahoo News Canada,2022-01-04,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vY2EubmV3cy55YWhvby5jb20vZmluYW5jZS9uZXdzL252aWRpYS1leHRlbmRzLXR1c2ltcGxlLXBhcnRuZXJzaGlwLWF1dG9ub21vdXMtMTk0MDUyMzcwLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://ca.news.yahoo.com', 'title': 'Yahoo News Canada'}",2.0,"[[0.0005341758369468153, 0.0002933195501100272, 0.9991724491119385]]"
NVIDIA's (NVDA) DRIVE Orin SoC to Power TuSimple's ADC Unit - Yahoo Finance,NVIDIA's (NVDA) DRIVE Orin SoC to Power TuSimple's ADC Unit  Yahoo Finance,2022-01-05,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9udmlkaWFzLW52ZGEtZHJpdmUtb3Jpbi1zb2MtMTU0NDAzMDk0Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",1.0,"[[0.0002704048529267311, 0.9979852437973022, 0.0017443564720451832]]"
