Date,Adj Close,Open,High,Low,Close,Volume
2022-01-03,300.781,298.15,307.11,297.85,301.21,39154700
2022-01-04,292.483,302.77,304.68,283.49,292.9,52715400
2022-01-05,275.647,289.49,294.16,275.33,276.04,49806400
2022-01-06,281.379,276.4,284.38,270.65,281.78,45418600
2022-01-07,272.082,281.41,284.22,270.57,272.47,40993900
2022-01-10,273.61,265.81,274.69,256.44,274.0,59468100
2022-01-11,277.774,273.23,280.65,268.39,278.17,40408900
2022-01-12,279.591,280.67,285.95,276.08,279.99,38341300
2022-01-13,265.372,283.79,284.8,264.98,265.75,54017100
2022-01-14,269.036,263.0,271.97,262.1,269.42,39583200
2022-01-18,258.661,262.6,266.38,257.7,259.03,42427000
2022-01-19,250.313,260.79,265.43,250.52,250.67,48831500
2022-01-20,241.156,253.04,255.79,240.78,241.5,43518100
2022-01-21,233.407,235.07,248.23,232.63,233.74,71895800
2022-01-24,233.387,223.3,233.8,208.88,233.72,91398200
2022-01-25,222.922,225.46,229.43,220.0,223.24,66461600
2022-01-26,227.396,232.4,240.57,223.0,227.72,75595900
2022-01-27,219.127,235.68,239.95,216.75,219.44,57335300
2022-01-28,228.075,220.12,228.58,212.96,228.4,54377400
2022-01-31,244.511,231.82,245.09,230.52,244.86,56468000
2022-02-01,246.029,251.04,251.45,238.9,246.38,51892500
2022-02-02,252.061,257.94,258.17,245.53,252.42,54341900
2022-02-03,239.139,244.58,250.77,237.8,239.48,41017800
2022-02-04,242.844,239.72,246.35,236.32,243.19,35482900
2022-02-07,246.928,243.72,251.82,242.02,247.28,37686800
2022-02-08,250.722,243.59,252.3,239.8,251.08,41035900
2022-02-09,266.67,256.22,267.25,253.53,267.05,52428200
2022-02-10,257.872,259.95,269.25,256.0,258.24,51320000
2022-02-11,239.149,259.16,261.52,237.73,239.49,60547200
2022-02-14,242.324,239.34,248.75,237.55,242.67,44042400
2022-02-15,264.573,249.49,265.45,247.84,264.95,69986900
2022-02-16,264.732,262.59,265.82,255.52,265.11,73267600
2022-02-17,244.721,256.3,257.85,241.65,245.07,81059500
2022-02-18,236.083,246.68,249.86,231.0,236.42,76125500
2022-02-22,233.567,230.35,240.64,230.0,233.9,63342200
2022-02-23,223.551,238.02,241.55,223.01,223.87,56651100
2022-02-24,237.142,210.15,238.0,208.9,237.48,73580100
