Date,Adj Close,Open,High,Low,Close,Volume,neg_sentiment_cnt,neu_sentiment_cnt,pos_sentiment_cnt,mean_neg_sentiment_prob,mean_neu_sentiment_prob,mean_pos_sentiment_prob
2022-01-04,292.483,302.77,304.68,283.49,292.9,52715400,0.0,3.0,6.0,0.0065462790702844765,0.3267133344706963,0.6667403857172758
2022-01-05,275.647,289.49,294.16,275.33,276.04,49806400,0.0,2.0,0.0,0.0002748838742263615,0.9968166649341583,0.00290846498683095
2022-01-06,281.379,276.4,284.38,270.65,281.78,45418600,0.0,4.0,3.0,0.00018428974362905137,0.5863082587560972,0.4135074754667585
2022-01-07,272.082,281.41,284.22,270.57,272.47,40993900,0.0,0.0,3.0,0.0036808003060286865,0.08865094202337787,0.9076682726542155
2022-01-10,273.61,265.81,274.69,256.44,274.0,59468100,0.0,3.0,3.0,0.00034986033400249045,0.4651958696728495,0.5344542784005171
2022-01-11,277.774,273.23,280.65,268.39,278.17,40408900,0.0,1.0,1.0,0.0005023899066145532,0.49872766333282925,0.5007699460838921
2022-01-12,279.591,280.67,285.95,276.08,279.99,38341300,0.0,2.0,1.0,0.12775356986094266,0.541331117041409,0.3309152814775492
2022-01-13,265.372,283.79,284.8,264.98,265.75,54017100,0.0,3.0,1.0,0.07724125177446695,0.6757865971885622,0.24697217493667267
2022-01-14,269.036,263.0,271.97,262.1,269.42,39583200,0.0,0.0,1.0,0.0005045979632996023,0.053569450974464417,0.9459258913993835
2022-01-18,258.661,262.6,266.38,257.7,259.03,42427000,0.0,1.0,3.0,0.0003147374154650606,0.37150938028935343,0.6281758937984705
2022-01-19,250.313,260.79,265.43,250.52,250.67,48831500,0.0,1.0,1.0,0.0001279689859075006,0.5000847993069328,0.4997872708700015
2022-01-20,241.156,253.04,255.79,240.78,241.5,43518100,1.0,1.0,0.0,0.4991001426442381,0.5002701438497752,0.0006297426589298993
2022-01-24,233.387,223.3,233.8,208.88,233.72,91398200,1.0,1.0,0.0,0.4996690950356424,0.49978510732762516,0.0005458167870528996
2022-01-25,222.922,225.46,229.43,220.0,223.24,66461600,2.0,5.0,0.0,0.2806916683714787,0.7129647578778011,0.006343555927222562
2022-01-26,227.396,232.4,240.57,223.0,227.72,75595900,0.0,2.0,0.0,0.0007477287290384993,0.9924745261669159,0.006777676229830831
2022-01-27,219.127,235.68,239.95,216.75,219.44,57335300,0.0,0.0,2.0,0.0004502463052631356,0.20053287732298486,0.7990168333053589
2022-01-28,228.075,220.12,228.58,212.96,228.4,54377400,1.0,0.0,0.0,0.9809086322784424,0.005674605257809162,0.013416729867458344
2022-01-31,244.511,231.82,245.09,230.52,244.86,56468000,0.0,1.0,0.0,5.6652945204405114e-05,0.9998109936714172,0.0001323487376794219
2022-02-01,246.029,251.04,251.45,238.9,246.38,51892500,0.0,1.0,0.0,9.319305536337197e-05,0.9998422861099243,6.450290675275028e-05
2022-02-02,252.061,257.94,258.17,245.53,252.42,54341900,1.0,0.0,1.0,0.499416317390569,0.0008162935846485198,0.49976744345622137
2022-02-03,239.139,244.58,250.77,237.8,239.48,41017800,0.0,1.0,0.0,5.83474975428544e-05,0.9996681213378906,0.0002735129091888666
2022-02-04,242.844,239.72,246.35,236.32,243.19,35482900,0.0,1.0,0.0,0.0182249266654253,0.9815539121627808,0.0002211634418927133
2022-02-07,246.928,243.72,251.82,242.02,247.28,37686800,2.0,4.0,0.0,0.2654089596871927,0.7227231172534326,0.01186793125755988
2022-02-08,250.722,243.59,252.3,239.8,251.08,41035900,3.0,2.0,1.0,0.48062087650760077,0.33018152392469347,0.18919757642045928
2022-02-09,266.67,256.22,267.25,253.53,267.05,52428200,0.0,1.0,0.0,0.003983085509389639,0.9958792924880981,0.0001376687578158453
2022-02-10,257.872,259.95,269.25,256.0,258.24,51320000,0.0,2.0,2.0,0.00019570413587643998,0.5011513467688928,0.4986528874942451
2022-02-11,239.149,259.16,261.52,237.73,239.49,60547200,0.0,1.0,0.0,0.00021129479864612222,0.9994157552719116,0.0003729882591869682
2022-02-14,242.324,239.34,248.75,237.55,242.67,44042400,0.0,1.0,1.0,0.00013929742090112995,0.500050105896662,0.4998106707862462
2022-02-15,264.573,249.49,265.45,247.84,264.95,69986900,0.0,0.0,3.0,0.00026994426055656123,0.0001324267116918539,0.9995976487795512
2022-02-16,264.732,262.59,265.82,255.52,265.11,73267600,0.0,2.0,3.0,0.0006248979872907512,0.39954989830293924,0.5998251888056985
2022-02-17,244.721,256.3,257.85,241.65,245.07,81059500,4.0,1.0,2.0,0.5529610907064385,0.1604346499661915,0.286604251708403
2022-02-18,236.083,246.68,249.86,231.0,236.42,76125500,0.0,0.0,1.0,0.000206948330742307,0.00033708210685290396,0.999455988407135
2022-02-22,233.567,230.35,240.64,230.0,233.9,63342200,0.0,1.0,1.0,0.22942426035297103,0.5251593980938196,0.2454163660731865
2022-02-23,223.551,238.02,241.55,223.01,223.87,56651100,0.0,6.0,2.0,0.011922214989681379,0.737540310168697,0.25053747360061607
2022-02-24,237.142,210.15,238.0,208.9,237.48,73580100,0.0,0.0,1.0,0.0004360760503914207,0.0018070059595629573,0.9977570176124573
2022-02-25,241.226,237.21,242.17,233.81,241.57,52886600,0.0,0.0,1.0,0.00046040749293752015,0.0009245772380381823,0.9986149072647095
2022-02-28,243.503,239.92,246.65,237.07,243.85,47731900,0.0,1.0,0.0,0.014824821613729,0.9798062443733215,0.005368914920836687
2022-03-01,234.436,242.91,243.77,231.32,234.77,41205600,3.0,1.0,1.0,0.5973679236631142,0.2015334677111241,0.20109863568795844
2022-03-02,241.896,237.56,244.09,234.15,242.2,38964200,0.0,1.0,0.0,7.078820635797456e-05,0.9998792409896851,4.996628558728844e-05
2022-03-03,236.843,242.62,243.26,234.69,237.14,36509500,0.0,1.0,0.0,6.770226173102856e-05,0.9996495246887207,0.0002828238357324153
2022-03-08,214.87,213.09,223.73,206.5,215.14,55746700,0.0,1.0,0.0,5.9108999266754836e-05,0.9996867179870605,0.0002542274014558643
2022-03-09,229.851,223.87,232.2,222.47,230.14,49274200,1.0,0.0,1.0,0.4938795408816077,0.00041684908501338214,0.505703626666218
2022-03-10,226.296,225.31,227.88,218.82,226.58,42806600,0.0,0.0,2.0,0.0002897285594372079,0.0001352610852336511,0.9995750188827515
2022-03-14,213.033,218.69,222.62,211.59,213.3,38535400,2.0,0.0,1.0,0.657748434789634,0.010965751484036446,0.33128583351693425
2022-03-15,229.442,215.18,230.38,213.22,229.73,49199600,0.0,1.0,0.0,7.035717862891033e-05,0.9998437166213989,8.585341856814921e-05
2022-03-16,244.653,235.0,245.97,231.72,244.96,67142200,0.0,0.0,2.0,0.0510161527490709,0.006873402162455022,0.9421104788780212
2022-03-18,264.198,247.99,265.69,246.24,264.53,73071900,0.0,2.0,1.0,0.00019645667149840543,0.6716738035902381,0.3281297446107298
2022-03-22,264.907,267.27,272.38,260.72,265.24,54700700,0.0,4.0,3.0,0.0002306994335542965,0.5689960084190326,0.43077328548783306
